507258,CEYS CESPED ARTIFICIAL BOTE 4KG,8411519772586,1,"41,1","49,75",adhesivos especificos,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/507258_ESPECÍFICOS_CÉSPED ARTIFICIAL BOTE.jpg
507259,CEYS BANDA CESPED ARTIFICIAL 30CM*10M,8411519772593,6,"10,87","13,15",adhesivos especificos,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/507259_ESPECÍFICOS_BANDA CÉSPED ARTIFICAL.jpg
504601,"CEYS COLA PAPEL PINTADO ""LMP"" 125GR.",8411519570014,12,"3,5","4,25",adhesivos especificos,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/504601_ESPECIFICOS_PAPEL PINTADO LMP CAJA.jpg
504602,"CEYS COLA PAPEL PINTADO ""VTP"" 125GR.",8411519570021,12,"5,17","6,25",adhesivos especificos,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/504602_ESPECIFICOS_PAPEL PINTADO VTP CAJA.jpg
504603,Ceys Cola Papeles Pintados Universal 1kg,8411519746037,6,"6,97","8,45",adhesivos especificos,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/504603_ESPECIFICOS_UNIVERSAL BOTE.jpg
507003,CEYS BARRA BLANCA BLISTER 45/90 MM.,8411519415025,24,"4,69","5,65",adhesivos termofusibles,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/507003_TERMO_BLANCA 45-90 BLISTER.jpg
507004,CEYS BARRA BLANCA 180MM. 1/2 KG.,8411519412093,6,"9,79","11,85",adhesivos termofusibles,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/507004_TERMO_BLANCA 180 BOLSA.jpg
507001,CEYS MINI BARRAS  TRANSL. 50/100 BLISTER,8411519413038,24,"2,15","2,6",adhesivos termofusibles,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/507001_TERMO_MINI BARRAS TRANSLUCIDAS BLISTER.jpg
507010,CEYS BARRA TRANSLUCIDA 45/90 MM.,8411519415018,24,"4,69","5,65",adhesivos termofusibles,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/507010_TERMOTRANSLUCIDA 45-90 BLISTER.jpg
507012,CEYS BARRA TRANSLUCIDA 180MM 1/2 KG.,8411519412086,6,"9,79","11,85",adhesivos termofusibles,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/507012_TERMO_TRANSLUCIDA 180 BOLSA.jpg
507014,CEYS BARRA TRANSLUCIDA. 180MM. 1 KG.,8411519412062,1,"14,12","17,1",adhesivos termofusibles,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/507014_TERMO_TRANSLUCIDA 180 CAJA.jpg
507015,CEYS BARRA TRASLUCIDA.180 MM CAJA 10 KG.,8411519000009,1,"121,8","147,4",adhesivos termofusibles,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/507015_TERMO_TRANSLUCIDA 180 CAJA.jpg
507102,CEYS PISTOLA TERMOFUSIBLE MINI T-20,8411519413021,6,"13,11","15,85",adhesivos termofusibles,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/507102_TERMO_PISTOLA MINI T20.jpg
507103,CEYS PISTOLA TERMOFUSIBLE T-60,8411519771039,4,"15,4","18,65",adhesivos termofusibles,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/507103_TERMO_PISTOLA T60.jpg
507023,CEYS BARRA  MADERA-CARTON 180MM. 1 KG,8411519414103,1,"14,12","17,1",adhesivos termofusibles,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/507023_TERMO_MADERA CARTON 180 CAJA.jpg
507301,CEYS BRICOFÁCIL BRICO BLISTER 30ML,8411519240016,12,"2,17","2,65",adhesivos universales,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS UNIVERSALES_02/507301_ADH UNIVERSALES_BRICO BLISTER.jpg
507310,CEYS BRICOFACIL UNIVERSAL BLISTER 30ML,8411519240047,12,"2,17","2,65",adhesivos universales,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS UNIVERSALES_02/507310_ADH UNIVERSAL BLISTER.jpg
507204,FIJACEYS TRANSPARENTE BLISTER 20 ML,8411519110074,12,"2,54","3,05",adhesivos universales,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS UNIVERSALES_02/507204_ADH UNIVERSAL_PEGATODO TRANSPARENTE PEQUEÑO.jpg
507206,FIJACEYS TRANSPARENTE  BLISTER 100 ML.,8411519110081,12,"4,92","5,95",adhesivos universales,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS UNIVERSALES_02/507206_ADH UNIVERSALES_PEGATODO TRANSPARENTE GRANDE.jpg
507305,CEYS BRICOFACIL BARRA ADHESIVA STICK BLI,8411519390025,12,"3,01","3,65",adhesivos universales,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS UNIVERSALES_02/507305_ADH UNIVERSALES_BARRA ADHESIVA STICK BLISTER.jpg
501701,CEYS BRICOFÁCIL COLA BLANCA RÁPIDA 50GR,8411519251029,12,"1,8","2,15",adhesivos universales,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS UNIVERSALES_02/501701_ADH UNIVERSALES_COLA BLANCA RÁPIDA.jpg
500801,CEYS BRICOFÁCIL ADHESIVO 2 CARAS,8411519482010,12,"2,45","2,95",adhesivos universales,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS UNIVERSALES_02/500801_ADH UNIVERSALES_ADHESIVO 2 CARAS.jpg
507304,CEYS BRICOFÁCIL PEGA Y DESPEGA MASILLA,8411519773040,12,"2,68","3,25",adhesivos universales,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS UNIVERSALES_02/507304_ADH UNIVERSAL_PEGA Y DESPEGA MASILLA.jpg
507264,CEYS MONTACK A.T. INMEDIATO BLISTER 100G,8411519772364,12,"4,42","5,35",adhesivos de montaje,http://h2830758.stratoserver.net/DAM GENERAL/Montack___PRIMERA PRUEBA COMPLETA/02/507264_507410_MONTACK AGT INMEDIATO BLISTER.jpg
507252,CEYS MONTACK A.T. INMEDIATO TUBO 190G,8411519772524,12,"5,11","6,2",adhesivos de montaje,http://h2830758.stratoserver.net/DAM GENERAL/Montack___PRIMERA PRUEBA COMPLETA/02/507252_507420_MONTACK AGT INMEDIATO TUBO190.jpg
507241,CEYS MONTACK A.T. INMEDIATO TUBO 260G,8411519772418,12,"6,89","8,35",adhesivos de montaje,http://h2830758.stratoserver.net/DAM GENERAL/Montack___PRIMERA PRUEBA COMPLETA/02/507241_507425_MONTACK AGT INMEDIATO TUBO260.jpg
507263,CEYS MONTACK A.T. INMEDIATO CARTUCHO 450G,8411519772340,15,"7,04","8,5",adhesivos de montaje,http://h2830758.stratoserver.net/DAM GENERAL/Montack___PRIMERA PRUEBA COMPLETA/02/507263_507430_MONTACK AGT INMEDIATO CARTUCHO.jpg
507262,CEYS MONTACK A.T. INVISIBLE BLISTER 80G,8411519772272,12,"4,42","5,35",adhesivos de montaje,http://h2830758.stratoserver.net/DAM GENERAL/Montack___PRIMERA PRUEBA COMPLETA/02/507262_507450_MONTACK AGT INVISIBLE BLISTER.jpg
507275,CEYS MONTACK A.T. INVISIBLE TUBO 135GR,8411519772753,12,"5,11","6,2",adhesivos de montaje,http://h2830758.stratoserver.net/DAM GENERAL/Montack___PRIMERA PRUEBA COMPLETA/02/507275_MONTACK AGT INVISIBLE TUBO135.jpg
507261,CEYS MONTACK A.T. INVISIBLE CARTUCHO 315G,8411519772241,15,"7,04","8,5",adhesivos de montaje,http://h2830758.stratoserver.net/DAM GENERAL/Montack___PRIMERA PRUEBA COMPLETA/02/507261_507470_MONTACK AGT INVISIBLE CARTUCHO.jpg
507240,CEYS MONTACK A.T. INMEDIATO CINTA BLISTER,8411519772401,12,"7,02","8,5",adhesivos de montaje,http://h2830758.stratoserver.net/DAM GENERAL/Montack___PRIMERA PRUEBA COMPLETA/02/507240_MONTACK CINTA BLISTER.jpg
507207,CEYS MONTACK A.T. INMEDIATO CINTA PRECORTADA,8411519709933,12,"3,51","4,25",adhesivos de montaje,http://h2830758.stratoserver.net/DAM GENERAL/Montack___PRIMERA PRUEBA COMPLETA/02/507207_MONTACK CINTA PRECORTADA.jpg
507218,CEYS MONTACK A.T. INMEDIATO CINTA ESPECIAL LEDS,8411519772180,12,"9,57","11,6",adhesivos de montaje,http://h2830758.stratoserver.net/DAM GENERAL/Montack___PRIMERA PRUEBA COMPLETA/02/507218_MONTACK CINTA LED.jpg
507400,CEYS MONTACK A.T. REMOVIBLE BLISTER 20G,8411519774009,12,"3,68","4,45",adhesivos de montaje,http://h2830758.stratoserver.net/DAM GENERAL/Montack___PRIMERA PRUEBA COMPLETA/02/507400_MONTACK AGT REMOVIBLE20.jpg
507250,CEYS MONTACK A.T. REMOVIBLE BLISTER 50G,8411519772500,12,"4,9","5,95",adhesivos de montaje,http://h2830758.stratoserver.net/DAM GENERAL/Montack___PRIMERA PRUEBA COMPLETA/02/507250_MONTACK AGT REMOVIBLE50.jpg
