header,title,descripcion,marca,categoria,ean,peso,unidades,precio,imagen
Cargador-rapido-bateria-125w-koma-tools-pro-series-battery-edm,Cargador rapido bateria 125w koma tools pro series battery edm,"Cargador rapido de bateria 125w 2,3a-5a - voltaje: 100-240 v - tiempo de carga 30 minutos bateria de 2 ah  y 60 minutos bateria de 4 ah - edm",KOMA TOOLS,Herramientas eléctricas,8425998087734,790,565,54.95,https://api.elektro3.com/images/products/08773.jpg
Hidrolimpiadora-koma-tools--alta-presion--105-bar-1.500w-edm,Hidrolimpiadora koma tools  alta presion  105 bar 1.500w edm,"Hidrolimpiadora alta presion de potencia 1500w y 105 bares - bomba de aluminio - accesorios: boquilla graduable, extension de lanza, pistola ergonomica, manguera de 3 m de alta presion y deposito para detergente - voltage: 220/240v - 50hz - edm",KOMA TOOLS,Herramientas eléctricas,8425998087109,6800,534,99.95,https://api.elektro3.com/images/products/08710.jpg
Recambio-conector-rapido-para-hidrolimpiadora-08710,Recambio conector rapido para hidrolimpiadora 08710,Recambio conector rapido para hidrolimpiadora 08710,KOMA TOOLS,Herramientas eléctricas,8425998087116,80,0,1.95,https://api.elektro3.com/images/products/08711.jpg
Recambio-pack-2-ruedas-delanteras-08759,Recambio pack 2 ruedas delanteras 08759,Recambio pack 2 ruedas delanteras 08759,KOMA TOOLS,Herramientas eléctricas,8425998087161,138,49,7.38,https://api.elektro3.com/images/products/08716.jpg
Recambio-pack-2-ruedas-traseras-08759,Recambio pack 2 ruedas traseras 08759,Recambio pack 2 ruedas traseras 08759,KOMA TOOLS,Herramientas eléctricas,8425998087178,198,48,8.22,https://api.elektro3.com/images/products/08717.jpg
Hilo-recambio-para-08757,Hilo recambio para 08757,Hilo recambio para 08757,KOMA TOOLS,Herramientas eléctricas,8425998087451,64,85,3.29,https://api.elektro3.com/images/products/08745.jpg
Cadena-recambio-para-08761,Cadena recambio para 08761,Cadena recambio para 08761,KOMA TOOLS,Herramientas eléctricas,8425998087468,124,61,9.09,https://api.elektro3.com/images/products/08746.jpg
Recortabordes-20v-(sin-bateria-y-cargador)-koma-tools-pro-series-battery-edm,Recortabordes 20v (sin bateria y cargador) koma tools pro series battery edm,"Recortabordes 20v (sin bateria y cargador) koma tools pro series battery edm velocidad sin carga 8.500 rpm, corte de 250mm, tubo telescopico,  sistema 2 en 1: recortadora y bordeadora, cabezal automatico, mango ergonomico. tamaño: 155x30cm",KOMA TOOLS,Herramientas eléctricas,8425998087574,1708,149,39.95,https://api.elektro3.com/images/products/08757.jpg
Cortasetos-20v-(sin-bateria-y-cargador)-koma-tools-pro-series-battery-edm,Cortasetos 20v (sin bateria y cargador) koma tools pro series battery edm,"Cortasetos 20v (sin bateria y cargador) koma tools pro series battery edm velocidad de la cuchilla 1.300cpm, capacidad de corte 410mm, diametro de corte 18mm. con interruptor de seguridad de doble mano, protector de cuchilla, agarre suave. tamaño: 75x19,5cm",KOMA TOOLS,Herramientas eléctricas,8425998087581,2674,147,59.95,https://api.elektro3.com/images/products/08758.jpg
Cortacesped-20v-(sin-bateria-y-cargador)-koma-tools-pro-series-battery-edm,Cortacesped 20v (sin bateria y cargador) koma tools pro series battery edm,"Cortacesped 20v (sin bateria y cargador) koma tools pro series battery edm velocidad sin carga 2.900 rpm, maximo ancho de corte 330mm, altura de corte regulable 25-75mm hasta 5 niveles, recogedor de hierba 30l. utilizar solo bateria ref 08771. decibelios: 96, tamaño: 97x93cm.",KOMA TOOLS,Herramientas eléctricas,8425998087598,12500,169,159.95,https://api.elektro3.com/images/products/08759.jpg
Motosierra-20v--(sin-bateria-y-cargador)-koma-tools-pro-series-battery-edm,Motosierra 20v  (sin bateria y cargador) koma tools pro series battery edm,"Motosierra 20v  (sin bateria y cargador) koma tools pro series battery edm. velocidad sin carga 5,6m/s. capacidad de corte 200mm, agarre suave, con autolubricacion, doble freno de seguridad, sistema de tensado sin herramientas. para un correcto uso, utilizar solo bateria ref 08771. decibelios: 98, tamaño articulo 63x23,2cm",KOMA TOOLS,Herramientas eléctricas,8425998087611,4930,17,84.95,https://api.elektro3.com/images/products/08761.jpg
Garrafa-5l.-aceite-para-cadenas-de-motosierra-,Garrafa 5l. aceite para cadenas de motosierra ,Garrafa 5l. aceite para cadenas de motosierra es un aceite especial para la lubricacion de cadenas de motosierras y para engrase general de la maquina. fabricados con bases parafinicas que garantizan unas excelentes propiedades naturales de lubricacion.,KOMA TOOLS,Herramientas eléctricas,842541570198,4524,0,21.35,https://api.elektro3.com/images/products/96518.jpg
Pack-5-lijas-para-08765-koma-tools,Pack 5 lijas para 08765 koma tools,Pack 5 lijas para 08765 koma tools (contiene: 1 uni lija p60 + 2 uni p80 + 2 uni p120),KOMA TOOLS,Herramientas eléctricas,8425998087192,22,412,1.15,https://api.elektro3.com/images/products/08719.jpg
Disco-recambio-para-08764--koma-tools,Disco recambio para 08764  koma tools,Disco recambio para 08764  - disco de acero y dientes de aleación de tungsteno (tipo hw) para cortar madera - koma tools,KOMA TOOLS,Herramientas eléctricas,8425998087208,436,164,6.85,https://api.elektro3.com/images/products/08720.jpg
Juego-puntas-planas-1-4--5-piezas-x-25mm-koma-tools,Juego puntas planas 1 4 -5 piezas x 25mm koma tools,Juego puntas planas 1 4 -5 piezas x 25mm koma tools,KOMA TOOLS,Herramientas eléctricas,8425998087390,30,1000,1.2,https://api.elektro3.com/images/products/08739.jpg
Juego-6-puntas-ph-1-2-3-pz-1-2-3-x-25mm-koma-tools,Juego 6 puntas ph 1-2-3 pz 1-2-3 x 25mm koma tools,Juego 6 puntas ph 1-2-3 pz 1-2-3 x 25mm koma tools,KOMA TOOLS,Herramientas eléctricas,8425998087406,38,1000,1.3,https://api.elektro3.com/images/products/08740.jpg
Juego-6-puntas-ph-1-2-3-pz-1-2-3-x-50mm-koma-tools,Juego 6 puntas ph 1-2-3 pz 1-2-3 x 50mm koma tools,Juego 6 puntas ph 1-2-3 pz 1-2-3 x 50mm koma tools,KOMA TOOLS,Herramientas eléctricas,8425998087413,70,1000,2.2,https://api.elektro3.com/images/products/08741.jpg
Juego-4-brocas-widia-standard-koma-tools,Juego 4 brocas widia standard koma tools,Juego 4 brocas widia standard koma tools,KOMA TOOLS,Herramientas eléctricas,8425998087420,122,1000,3.9,https://api.elektro3.com/images/products/08742.jpg
Disco-corte-para-hierro-y-acero-inoxidable-115x1.0x22.23mm--koma-tools,Disco corte para hierro y acero inoxidable 115x1.0x22.23mm  koma tools,Disco corte para hierro y acero inoxidable 115x1.0x22.23mm  koma tools,KOMA TOOLS,Herramientas eléctricas,8425998087437,28,1000,0.7,https://api.elektro3.com/images/products/08743.jpg
Kit-amoladora-20v-koma-tools-pro-series-con-1-bateria-4.0-ah-y-cargador-08772-edm,Kit amoladora 20v koma tools pro series con 1 bateria 4.0 ah y cargador 08772 edm,"Kit amoladora de bateria li-on de 20v - con 1 bateria 4.0 ah y cargador de 60w - 9500 rpm - protector para disco de ø115mm (disco no incluido) - interruptor de seguridad - dimensiones : 32,8 x 13,8 x 11cm - para un funcionamiento optimo de este artículo se aconseja utilizar una batería ref. 08772 - accesorios : mango adicional + 1 llave para canviar el disco - presentacion en maletin de transporte - edm",KOMA TOOLS,Herramientas eléctricas,8425998087604,4462,740,169.95,https://api.elektro3.com/images/products/08760.jpg
Taladro-percutor/atornillador-20v-brushless--(sin-bateria-y-cargador)--koma-tools-pro-series-battery-edm,Taladro percutor/atornillador 20v brushless  (sin bateria y cargador)  koma tools pro series battery edm,Taladro atornillador de bateria brushless (sin escobillas) - no incluye bateria y cargador - 2 velocidades variables ( velocidad 1 de 0 a 500 rpm - velocidad 2 de 0 a 1800 rpm ) - rotación izquierda/derecha - portabrocas sin llave de ø 13 mm - luz led para iluminar el punto de trabajo - soporte para colgar en el cinturon - 19 posiciones de apriete ajustable (max.50n.m) + 1 posicion de taladro + 1 percutor - dimensiones: 22x25 cm - edm,KOMA TOOLS,Herramientas eléctricas,8425998087628,1614,165,99.95,https://api.elektro3.com/images/products/08762.jpg
Martillo-percutor--20v-(sin-bateria-y-cargador)-koma-tools-pro-series-battery-edm,Martillo percutor  20v (sin bateria y cargador) koma tools pro series battery edm,"Martillo percutor 20v (no incluye bateria y cargador) koma tools pro series battery edm - velocidad variable de 0-1.500 rpm -  frecuencia de impacto  0 a 5500t/min.- fuerza de impacto 1,8j - 3 funciones (percutor + taladro + taladro/percutor) - portabrocas sds+ - capacidad de perforacion madera 26mm, acero 13mm, hormigon 20mm - mango adicional con varilla de control de profundidad - luz led para iluminar el punto de trabajo - para un funcionamiento optimo de este artículo se aconseja utilizar una batería ref. 08771 - dimensiones : 30 x 19,5 cm",KOMA TOOLS,Herramientas eléctricas,8425998087635,2592,961,99.95,https://api.elektro3.com/images/products/08763.jpg
Sierra-circular-20v--(no-incluye-bateria-y-cargador)-koma-tools-pro-series-battery-edm,Sierra circular 20v  (no incluye bateria y cargador) koma tools pro series battery edm,"Sierra circular 20v (no incluye bateria y cargador) koma tools pro series battery edm  - 1 velocidad sin carga de 0 a 3.800 rpm  - diametro del disco 165mmx20mm  - profundidad maxima de corte (55 mm a 90 grados y 40 mm a 45 grados) - disco de acero y dientes de aleación de tungsteno (tipo hw) para cortar madera - para un funcionamiento optimo de este artículo se aconseja utilizar una batería ref. 08771 - toma de aspiracion de virutas - dimensiones: 30,1x21,5 cm - interruptor de bloqueo para mayor seguridad - bloqueo del eje para cambiar el disco - base de aluminio -  accesorios: guia de corte milimetrada",KOMA TOOLS,Herramientas eléctricas,8425998087642,2716,69,89.95,https://api.elektro3.com/images/products/08764.jpg
